,opened,exists,read,written,created,deleted,failed,recreated
100,83.75% (+/- 2.64%),94.43% (+/- 1.67%),93.2% (+/- 2.06%),97.06% (+/- 1.7%),98.61% (+/- 1.35%),89.72% (+/- 3.3%),87.49% (+/- 3.42%),95.03% (+/- 2.88%)
200,84.29% (+/- 2.3%),94.49% (+/- 1.7%),92.87% (+/- 2.18%),97.99% (+/- 1.4%),99.24% (+/- 0.85%),90.02% (+/- 3.3%),90.3% (+/- 3.35%),95.5% (+/- 2.96%)
300,84.73% (+/- 2.4%),94.75% (+/- 2.19%),93.77% (+/- 1.87%),98.16% (+/- 1.51%),99.44% (+/- 0.64%),90.2% (+/- 3.43%),91.71% (+/- 2.69%),95.7% (+/- 2.88%)
400,84.73% (+/- 2.54%),95.07% (+/- 1.96%),94.42% (+/- 1.77%),98.19% (+/- 1.57%),99.44% (+/- 0.52%),90.2% (+/- 3.48%),92.33% (+/- 2.59%),95.64% (+/- 2.89%)
500,84.84% (+/- 2.51%),95.38% (+/- 1.86%),94.72% (+/- 1.68%),98.23% (+/- 1.37%),99.58% (+/- 0.58%),90.33% (+/- 3.36%),92.23% (+/- 2.81%),95.5% (+/- 3.06%)
600,84.92% (+/- 2.67%),95.46% (+/- 1.46%),94.75% (+/- 1.81%),98.09% (+/- 1.5%),99.48% (+/- 0.64%),90.24% (+/- 3.48%),92.16% (+/- 2.66%),95.3% (+/- 3.17%)
700,85.1% (+/- 2.64%),95.67% (+/- 1.51%),94.72% (+/- 1.68%),98.06% (+/- 1.55%),99.51% (+/- 0.7%),90.33% (+/- 3.28%),93.08% (+/- 2.73%),95.5% (+/- 2.87%)
800,85.14% (+/- 2.65%),96.02% (+/- 1.51%),94.59% (+/- 1.78%),98.13% (+/- 1.46%),99.58% (+/- 0.58%),90.24% (+/- 3.36%),95.43% (+/- 2.0%),95.5% (+/- 3.01%)
900,85.1% (+/- 2.57%),96.1% (+/- 1.55%),94.75% (+/- 1.78%),98.13% (+/- 1.53%),99.55% (+/- 0.58%),90.24% (+/- 3.36%),95.69% (+/- 1.82%),95.83% (+/- 3.02%)
1000,85.28% (+/- 2.61%),96.54% (+/- 1.2%),94.78% (+/- 1.74%),98.23% (+/- 1.46%),99.51% (+/- 0.64%),90.15% (+/- 3.46%),95.62% (+/- 1.79%),95.3% (+/- 3.04%)
1100,85.26% (+/- 2.51%),96.39% (+/- 1.47%),94.64% (+/- 1.81%),98.09% (+/- 1.47%),99.48% (+/- 0.59%),90.33% (+/- 3.28%),95.66% (+/- 1.96%),95.5% (+/- 2.92%)
1200,85.22% (+/- 2.55%),96.62% (+/- 1.44%),94.67% (+/- 1.76%),98.26% (+/- 1.47%),99.51% (+/- 0.59%),90.28% (+/- 3.24%),95.63% (+/- 1.82%),95.16% (+/- 3.31%)
1300,85.4% (+/- 2.61%),96.7% (+/- 1.46%),94.75% (+/- 1.72%),98.26% (+/- 1.32%),99.55% (+/- 0.58%),90.2% (+/- 3.33%),95.66% (+/- 1.73%),95.43% (+/- 2.94%)
1400,85.2% (+/- 2.69%),96.78% (+/- 1.3%),94.75% (+/- 1.81%),98.16% (+/- 1.47%),99.41% (+/- 0.7%),90.24% (+/- 3.45%),95.59% (+/- 1.97%),95.23% (+/- 3.42%)
