,opened,read,written,deleted
100,98.11% (+/- 0.82%),96.7% (+/- 2.44%),95.97% (+/- 1.41%),88.68% (+/- 7.12%)
150,98.38% (+/- 0.79%),95.15% (+/- 2.45%),95.2% (+/- 1.81%),88.68% (+/- 7.23%)
200,98.38% (+/- 0.84%),96.48% (+/- 2.66%),95.18% (+/- 1.62%),88.68% (+/- 6.62%)
250,98.38% (+/- 0.75%),94.71% (+/- 2.46%),95.2% (+/- 1.63%),88.68% (+/- 6.72%)
300,98.38% (+/- 0.85%),94.71% (+/- 2.43%),95.2% (+/- 1.76%),89.62% (+/- 6.67%)
350,98.39% (+/- 0.77%),94.48% (+/- 2.47%),95.2% (+/- 1.3%),88.68% (+/- 6.85%)
400,98.38% (+/- 0.89%),94.71% (+/- 2.55%),95.56% (+/- 1.49%),87.86% (+/- 6.38%)
450,98.38% (+/- 0.86%),94.71% (+/- 2.28%),95.58% (+/- 1.59%),87.86% (+/- 6.68%)
500,98.38% (+/- 0.85%),94.7% (+/- 2.31%),95.97% (+/- 1.37%),87.74% (+/- 6.94%)
550,98.38% (+/- 0.71%),94.7% (+/- 2.38%),95.18% (+/- 1.46%),88.68% (+/- 6.68%)
600,98.38% (+/- 0.66%),95.15% (+/- 2.32%),95.97% (+/- 1.57%),88.68% (+/- 6.31%)
650,98.38% (+/- 0.7%),95.59% (+/- 2.47%),95.97% (+/- 1.36%),88.68% (+/- 6.63%)
700,98.38% (+/- 0.83%),94.93% (+/- 2.33%),95.97% (+/- 1.91%),87.86% (+/- 6.95%)
750,98.38% (+/- 0.76%),96.48% (+/- 2.56%),95.2% (+/- 1.65%),87.86% (+/- 7.1%)
800,98.38% (+/- 0.88%),96.69% (+/- 2.39%),95.58% (+/- 1.49%),87.86% (+/- 6.72%)
850,98.38% (+/- 0.84%),97.36% (+/- 2.74%),95.18% (+/- 1.71%),86.91% (+/- 7.57%)
900,98.38% (+/- 0.98%),94.7% (+/- 2.42%),95.58% (+/- 1.47%),86.79% (+/- 6.32%)
950,98.38% (+/- 0.75%),96.7% (+/- 2.41%),95.97% (+/- 1.73%),87.74% (+/- 6.95%)
1000,98.38% (+/- 0.67%),96.48% (+/- 2.65%),95.58% (+/- 1.39%),87.74% (+/- 6.94%)
