,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_criterion,param_max_depth,param_max_features,param_max_samples,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params
0,0.9216467463479415,0.901595744680851,0.9175531914893617,0.913563829787234,0.9002659574468085,0.9109279446955597,0.008562216038717367,20,0.30698237419128416,0.01177467630731687,0.022101497650146483,0.007876753366818886,True,entropy,19,log2,0.7416559821292414,5,2,88,"OrderedDict([('bootstrap', True), ('criterion', 'entropy'), ('max_depth', 19), ('max_features', 'log2'), ('max_samples', 0.7416559821292414), ('min_samples_leaf', 5), ('min_samples_split', 2), ('n_estimators', 88)])"
1,0.7237715803452855,0.699468085106383,0.6928191489361702,0.6622340425531915,0.6861702127659575,0.69290082424887,0.019912969616826145,25,0.19691863059997558,0.037685025747598536,0.019253635406494142,0.011592253751533853,True,entropy,2,log2,0.6976920510966386,4,2,105,"OrderedDict([('bootstrap', True), ('criterion', 'entropy'), ('max_depth', 2), ('max_features', 'log2'), ('max_samples', 0.6976920510966386), ('min_samples_leaf', 4), ('min_samples_split', 2), ('n_estimators', 105)])"
2,0.9150066401062417,0.9029255319148937,0.9242021276595744,0.9095744680851063,0.9055851063829787,0.9114597181600638,0.007560263799,19,0.37826809883117674,0.020967820417480992,0.02530641555786133,0.007575923177727135,True,entropy,39,log2,0.7194966829176728,4,7,103,"OrderedDict([('bootstrap', True), ('criterion', 'entropy'), ('max_depth', 39), ('max_features', 'log2'), ('max_samples', 0.7194966829176728), ('min_samples_leaf', 4), ('min_samples_split', 7), ('n_estimators', 103)])"
3,0.8871181938911022,0.8617021276595744,0.886968085106383,0.8723404255319149,0.863031914893617,0.8742355756447753,0.011084555770349693,23,0.5124451160430908,0.020995750971545893,0.024658775329589842,0.0074910643015766235,True,entropy,7,log2,0.7044770277962679,4,10,144,"OrderedDict([('bootstrap', True), ('criterion', 'entropy'), ('max_depth', 7), ('max_features', 'log2'), ('max_samples', 0.7044770277962679), ('min_samples_leaf', 4), ('min_samples_split', 10), ('n_estimators', 144)])"
4,0.7822045152722443,0.7606382978723404,0.7952127659574468,0.8031914893617021,0.7606382978723404,0.7803775591597979,0.017451491963226307,24,0.3644735813140869,0.020283658162325618,0.03043789863586426,0.007538728851528286,True,entropy,2,sqrt,0.7306059413249412,3,8,126,"OrderedDict([('bootstrap', True), ('criterion', 'entropy'), ('max_depth', 2), ('max_features', 'sqrt'), ('max_samples', 0.7306059413249412), ('min_samples_leaf', 3), ('min_samples_split', 8), ('n_estimators', 126)])"
5,0.9428950863213812,0.9335106382978723,0.9414893617021277,0.9414893617021277,0.9388297872340425,0.9396437117787823,0.0033364832261477406,11,0.45806174278259276,0.018048385092240157,0.030856752395629884,0.0014266605168594833,True,entropy,30,log2,0.8074655102407171,1,7,96,"OrderedDict([('bootstrap', True), ('criterion', 'entropy'), ('max_depth', 30), ('max_features', 'log2'), ('max_samples', 0.8074655102407171), ('min_samples_leaf', 1), ('min_samples_split', 7), ('n_estimators', 96)])"
6,0.9163346613545816,0.901595744680851,0.9148936170212766,0.9148936170212766,0.9042553191489362,0.9103961712310555,0.006178566267454176,21,0.4999858856201172,0.021352417669217423,0.025900602340698242,0.00796054072368065,True,entropy,30,log2,0.6076489309992668,4,6,120,"OrderedDict([('bootstrap', True), ('criterion', 'entropy'), ('max_depth', 30), ('max_features', 'log2'), ('max_samples', 0.6076489309992668), ('min_samples_leaf', 4), ('min_samples_split', 6), ('n_estimators', 120)])"
7,0.9375830013280213,0.9414893617021277,0.9454787234042553,0.9428191489361702,0.9428191489361702,0.9420366923690507,0.0025777714971162605,5,0.4269967555999756,0.01273842414527063,0.019161128997802736,0.0064673245073322075,False,gini,41,sqrt,0.8117255219265136,1,6,51,"OrderedDict([('bootstrap', False), ('criterion', 'gini'), ('max_depth', 41), ('max_features', 'sqrt'), ('max_samples', 0.8117255219265136), ('min_samples_leaf', 1), ('min_samples_split', 6), ('n_estimators', 51)])"
8,0.9389110225763613,0.925531914893617,0.9414893617021277,0.9335106382978723,0.9335106382978723,0.9345918638659931,0.0054888273021136075,15,2.2526803970336915,0.07719576826674195,0.07540912628173828,0.006327774818383738,False,gini,43,sqrt,0.7062859760566833,3,5,187,"OrderedDict([('bootstrap', False), ('criterion', 'gini'), ('max_depth', 43), ('max_features', 'sqrt'), ('max_samples', 0.7062859760566833), ('min_samples_leaf', 3), ('min_samples_split', 5), ('n_estimators', 187)])"
9,0.9402390438247012,0.9268617021276596,0.9414893617021277,0.9401595744680851,0.9361702127659575,0.9369848444562616,0.005367994021848818,12,2.3389169692993166,0.01171622888831187,0.08749160766601563,0.012497830512255089,False,gini,32,sqrt,0.9204164063481333,2,8,188,"OrderedDict([('bootstrap', False), ('criterion', 'gini'), ('max_depth', 32), ('max_features', 'sqrt'), ('max_samples', 0.9204164063481333), ('min_samples_leaf', 2), ('min_samples_split', 8), ('n_estimators', 188)])"
10,0.9349269588313412,0.9361702127659575,0.9481382978723404,0.9428191489361702,0.9401595744680851,0.9404413719755385,0.0047673403292691026,8,1.5180936336517334,0.042524471814871886,0.06275324821472168,0.009889914828664388,False,gini,22,sqrt,0.99,1,10,118,"OrderedDict([('bootstrap', False), ('criterion', 'gini'), ('max_depth', 22), ('max_features', 'sqrt'), ('max_samples', 0.99), ('min_samples_leaf', 1), ('min_samples_split', 10), ('n_estimators', 118)])"
11,0.9402390438247012,0.9335106382978723,0.9428191489361702,0.9414893617021277,0.9414893617021277,0.9399095985110343,0.0033014440309836837,10,1.610196304321289,0.08091982678905632,0.0964472770690918,0.006610261350247409,True,gini,50,log2,0.99,1,10,200,"OrderedDict([('bootstrap', True), ('criterion', 'gini'), ('max_depth', 50), ('max_features', 'log2'), ('max_samples', 0.99), ('min_samples_leaf', 1), ('min_samples_split', 10), ('n_estimators', 200)])"
12,0.9375830013280213,0.9428191489361702,0.9428191489361702,0.949468085106383,0.9468085106382979,0.9438978994948152,0.004043148783837764,4,0.4834891319274902,0.01752803564569764,0.029205799102783203,0.00751678417119883,True,entropy,50,log2,0.99,1,2,50,"OrderedDict([('bootstrap', True), ('criterion', 'entropy'), ('max_depth', 50), ('max_features', 'log2'), ('max_samples', 0.99), ('min_samples_leaf', 1), ('min_samples_split', 2), ('n_estimators', 50)])"
