,opened,exists,read,written,created,deleted,failed,recreated
100,82.0% (+/- 2.09%),76.14% (+/- 1.99%),83.1% (+/- 2.26%),86.95% (+/- 2.07%),84.82% (+/- 2.1%),83.24% (+/- 3.35%),86.93% (+/- 1.79%),83.7% (+/- 4.26%)
200,82.74% (+/- 2.31%),76.33% (+/- 2.1%),83.22% (+/- 2.47%),87.91% (+/- 2.08%),85.54% (+/- 1.69%),82.26% (+/- 3.24%),86.33% (+/- 1.97%),82.95% (+/- 3.83%)
300,82.65% (+/- 2.4%),76.67% (+/- 1.75%),83.72% (+/- 2.46%),87.49% (+/- 2.25%),85.9% (+/- 2.07%),82.36% (+/- 3.24%),87.39% (+/- 1.89%),82.16% (+/- 3.63%)
400,82.18% (+/- 2.47%),76.85% (+/- 1.98%),83.72% (+/- 2.24%),87.37% (+/- 2.36%),85.88% (+/- 2.1%),82.55% (+/- 3.14%),87.19% (+/- 1.92%),81.37% (+/- 3.77%)
500,82.39% (+/- 2.49%),76.91% (+/- 2.04%),83.68% (+/- 2.47%),87.34% (+/- 2.49%),85.95% (+/- 2.12%),82.48% (+/- 3.23%),87.08% (+/- 1.93%),81.36% (+/- 3.45%)
600,82.47% (+/- 2.36%),76.84% (+/- 1.85%),83.75% (+/- 2.3%),87.69% (+/- 2.6%),85.9% (+/- 2.01%),82.67% (+/- 3.14%),86.72% (+/- 1.74%),81.61% (+/- 3.2%)
700,82.01% (+/- 2.37%),76.78% (+/- 2.0%),83.85% (+/- 2.31%),87.56% (+/- 2.71%),85.31% (+/- 2.16%),82.55% (+/- 3.19%),84.84% (+/- 3.48%),81.56% (+/- 3.22%)
800,82.19% (+/- 2.44%),76.65% (+/- 2.13%),83.86% (+/- 2.29%),87.66% (+/- 2.72%),85.2% (+/- 2.13%),82.61% (+/- 3.26%),84.61% (+/- 3.59%),81.71% (+/- 3.95%)
900,82.17% (+/- 2.43%),76.61% (+/- 2.03%),83.72% (+/- 2.21%),87.76% (+/- 2.67%),84.79% (+/- 2.15%),82.7% (+/- 3.16%),78.88% (+/- 1.69%),81.06% (+/- 3.78%)
1000,82.23% (+/- 2.53%),76.76% (+/- 1.89%),83.94% (+/- 2.29%),87.51% (+/- 2.69%),84.9% (+/- 2.14%),82.45% (+/- 3.06%),79.11% (+/- 1.72%),81.51% (+/- 3.75%)
1100,82.1% (+/- 2.39%),76.7% (+/- 1.98%),83.79% (+/- 2.14%),87.41% (+/- 2.49%),84.56% (+/- 2.01%),82.61% (+/- 3.18%),79.05% (+/- 1.73%),81.26% (+/- 3.43%)
1200,82.18% (+/- 2.35%),76.56% (+/- 1.98%),83.72% (+/- 2.07%),87.34% (+/- 2.57%),84.71% (+/- 2.11%),82.7% (+/- 3.13%),78.75% (+/- 1.7%),81.56% (+/- 3.03%)
1300,82.03% (+/- 2.48%),76.59% (+/- 1.85%),84.07% (+/- 2.17%),87.37% (+/- 2.61%),84.66% (+/- 1.89%),82.77% (+/- 3.11%),78.86% (+/- 1.77%),80.87% (+/- 3.83%)
1400,82.15% (+/- 2.18%),76.53% (+/- 1.93%),83.85% (+/- 2.19%),87.49% (+/- 2.55%),84.87% (+/- 1.81%),82.67% (+/- 3.23%),78.71% (+/- 1.68%),81.66% (+/- 3.18%)
