,opened,read,written,deleted
100,90.87% (+/- 1.05%),87.82% (+/- 1.29%),92.69% (+/- 1.93%),90.56% (+/- 3.11%)
150,90.96% (+/- 1.25%),88.02% (+/- 1.28%),93.05% (+/- 1.98%),89.8% (+/- 3.5%)
200,90.89% (+/- 1.47%),88.25% (+/- 1.11%),92.67% (+/- 2.04%),89.8% (+/- 3.35%)
250,91.58% (+/- 1.45%),88.45% (+/- 1.17%),92.88% (+/- 2.13%),90.34% (+/- 3.45%)
300,91.39% (+/- 1.49%),88.47% (+/- 1.13%),92.61% (+/- 2.01%),90.5% (+/- 3.12%)
350,91.46% (+/- 1.49%),88.52% (+/- 1.25%),92.4% (+/- 2.15%),90.83% (+/- 3.2%)
400,91.48% (+/- 1.48%),88.57% (+/- 1.34%),92.43% (+/- 2.12%),90.82% (+/- 3.6%)
450,91.26% (+/- 1.38%),88.49% (+/- 1.23%),92.4% (+/- 2.14%),90.78% (+/- 3.4%)
500,91.21% (+/- 1.29%),88.52% (+/- 1.22%),92.37% (+/- 2.06%),90.83% (+/- 3.63%)
550,91.14% (+/- 1.42%),88.78% (+/- 1.22%),92.15% (+/- 2.17%),90.99% (+/- 3.47%)
600,91.16% (+/- 1.58%),88.72% (+/- 1.43%),91.91% (+/- 2.26%),91.1% (+/- 3.57%)
650,91.09% (+/- 1.45%),88.76% (+/- 1.33%),92.21% (+/- 2.25%),90.88% (+/- 3.39%)
700,91.21% (+/- 1.49%),88.65% (+/- 1.29%),92.15% (+/- 2.06%),90.83% (+/- 3.5%)
750,90.97% (+/- 1.47%),88.7% (+/- 1.44%),92.18% (+/- 2.27%),90.83% (+/- 3.38%)
800,91.16% (+/- 1.32%),88.81% (+/- 1.32%),92.02% (+/- 2.07%),90.77% (+/- 3.75%)
850,91.01% (+/- 1.31%),88.61% (+/- 1.35%),92.1% (+/- 2.03%),90.61% (+/- 4.02%)
900,91.21% (+/- 1.5%),88.59% (+/- 1.3%),91.99% (+/- 2.23%),90.61% (+/- 3.54%)
950,91.07% (+/- 1.37%),88.7% (+/- 1.27%),91.96% (+/- 2.13%),90.72% (+/- 3.64%)
1000,91.1% (+/- 1.49%),88.68% (+/- 1.48%),92.07% (+/- 2.15%),90.61% (+/- 3.65%)
